accuracy,f1-score,mcc,precision,recall
0.8333333333333334,0.8571428571428571,0.7071067811865476,0.75,1.0
1.0,1.0,,1.0,1.0
0.6666666666666666,0.7499999999999999,0.4472135954999579,0.6,1.0
0.3333333333333333,0.5,-0.4472135954999579,0.6666666666666666,0.4
0.5,0.6666666666666665,-0.31622776601683794,0.6,0.75
0.6666666666666666,0.8000000000000002,-0.2,0.8,0.8
0.6,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666
0.5,0.6666666666666665,-0.31622776601683794,0.6,0.75
0.6666666666666666,0.8,,0.6666666666666666,1.0
0.8333333333333334,0.9090909090909091,,0.8333333333333334,1.0
